seed,probMeat,k,EquipmentPerPerson,nPeople,switchers,meatersA1,meatersA2,meatersImmo
-1413344092,0.2,1.9000000000000006,0.5,1500.0,81960.0,44.0,54.0,51.0
2107652240,0.2,1.9000000000000006,0.5,1500.0,81203.0,45.0,52.0,52.0
1569610682,0.2,1.9000000000000006,0.5,1500.0,82586.0,46.0,54.0,46.0
-1012282721,0.2,1.9000000000000006,0.5,1500.0,79879.0,50.0,44.0,49.0
-804969402,0.2,1.9000000000000006,0.5,1500.0,77459.0,47.0,58.0,48.0
-1444454036,0.2,1.9000000000000006,0.5,1500.0,81612.0,48.0,55.0,46.0
1934504550,0.2,1.9000000000000006,0.5,1500.0,80332.0,45.0,51.0,44.0
222433450,0.2,1.9000000000000006,0.5,1500.0,78950.0,49.0,53.0,42.0
844938554,0.2,1.9000000000000006,0.5,1500.0,85145.0,46.0,54.0,47.0
886018288,0.2,1.9000000000000006,0.5,1500.0,81081.0,51.0,53.0,47.0
-317728369,0.1,0.04,0.5,1000.0,1269.0,29.0,47.0,32.0
-916667102,0.1,0.04,0.5,1000.0,1264.0,33.0,50.0,30.0
959854472,0.1,0.04,0.5,1000.0,1381.0,29.0,51.0,32.0
1773094801,0.1,0.04,0.5,1000.0,1319.0,29.0,45.0,30.0
579350284,0.1,0.04,0.5,1000.0,1178.0,28.0,54.0,29.0
-1034187893,0.1,0.04,0.5,1000.0,1319.0,31.0,52.0,31.0
-1674239652,0.1,0.04,0.5,1000.0,1366.0,27.0,50.0,28.0
1276700249,0.1,0.04,0.5,1000.0,1421.0,28.0,57.0,29.0
1946077766,0.1,0.04,0.5,1000.0,1315.0,35.0,48.0,28.0
1378721508,0.1,0.04,0.5,1000.0,1519.0,27.0,57.0,26.0
171132729,0.4,0.5,0.5,1000.0,16244.0,51.0,52.0,44.0
-1210782873,0.4,0.5,0.5,1000.0,16962.0,47.0,50.0,45.0
-2001625297,0.4,0.5,0.5,1000.0,15999.0,49.0,50.0,48.0
757537772,0.4,0.5,0.5,1000.0,15989.0,46.0,55.0,46.0
-365121645,0.4,0.5,0.5,1000.0,17091.0,47.0,52.0,45.0
-1934952073,0.4,0.5,0.5,1000.0,16674.0,47.0,54.0,48.0
1424267242,0.4,0.5,0.5,1000.0,16326.0,51.0,53.0,45.0
1012881863,0.4,0.5,0.5,1000.0,16004.0,49.0,54.0,51.0
1130893227,0.4,0.5,0.5,1000.0,16086.0,51.0,50.0,47.0
-2305307,0.4,0.5,0.5,1000.0,16766.0,51.0,51.0,46.0
